stage,split,intervention,family,n_seeds,delta_sta_mean,delta_sim_mean,delta_fl_mean,delta_j_mean,effect_size_sta_mean,effect_size_sim_mean,effect_size_j_mean,delta_sta_sd,delta_sim_sd,delta_j_sd
stage13_steering,dev,encoder/mean_diff/per_language@+0.25,steering_primary,3,0.0006233251453086423,-0.0007071752702331969,-0.0035803659401106047,-0.002635792485985998,0.0105726094325194,-0.026078080177435816,-0.006338822244596008,0.012410452983334892,0.00035510245392977933,0.00925520894982817
stage13_steering,dev,encoder/mean_diff/per_language@+0.50,steering_primary,3,0.016215764782486774,-0.011351418886145404,-0.010016434350154662,-0.0009161707365540976,0.07268700809168992,-0.18653434876973551,-0.0019064685203095677,0.009162704335020828,0.0005815168613535106,0.012019390631318875
stage13_steering,dev,encoder/mean_diff/per_language@+1.00,steering_primary,3,0.04302572408349206,-0.10060497761083677,-0.0796171419896563,-0.08248241524157636,0.11621610058962113,-0.37894634196172716,-0.30032141773485854,0.032241627088944964,0.005222587060815362,0.022139863856413183
stage13_steering,dev,encoder/mean_diff/per_language@-0.50,steering_primary,3,-0.0056752932674779535,0.007291119201646091,-0.0011304254588451704,-0.006269617333486397,-0.024745189877066448,0.10095445132030569,-0.03842602645828725,0.006207718754163562,0.0030170710538344704,0.0063477147542701
stage13_steering,dev,encoder/mean_diff/per_language@-1.00,steering_primary,3,0.16399882572015875,-0.15703506529733882,-0.13550159123457706,-0.058840169911662375,0.345388298149019,-0.4803658008234332,-0.2137498061933837,0.06278736817370577,0.03157748709187226,0.0035669605851515783
stage13_steering,dev,encoder/mean_diff/pooled_african@+0.25,steering_primary,3,0.00873905881308642,4.9359364883402694e-05,0.0005242862113605491,0.0038309516435267774,0.0684160148562419,-0.010656383747716859,0.05466915236934786,0.00592869870889898,0.0016970307472413714,0.0015304300041102683
stage13_steering,dev,encoder/mean_diff/pooled_african@+0.50,steering_primary,3,0.01407330522714286,0.00038724917969821675,-0.0007161037426506065,0.008017108916030259,0.08547122696531238,-0.015857915751043714,0.07687561565483529,0.00620778504872339,0.002779655175773338,0.0027130626481343223
stage13_steering,dev,encoder/mean_diff/pooled_african@+1.00,steering_primary,3,0.009704600502292769,-0.0008815861824417022,-0.0028639811622723113,0.0016068344165773418,0.04154579982970006,-0.012988966305617217,0.00858211876575482,0.012080547176879291,0.0010190594865479245,0.010452431946661312
stage13_steering,dev,encoder/mean_diff/pooled_african@-0.50,steering_primary,3,-0.00810244600696649,0.003586022069958849,-0.0013909184759053929,-0.007370384760123209,-0.044457646162916954,0.07129244670983564,-0.06024891423139165,0.006377011240353731,0.0016357165884298918,0.0056888754809487135
stage13_steering,dev,encoder/mean_diff/pooled_african@-1.00,steering_primary,3,-0.015463008895079363,0.007415568938299041,-0.003535213700212901,-0.012946662663996307,-0.0635397837667034,0.08372957140931496,-0.07080283048318071,0.025068341765158892,0.0032094028185761145,0.0180074410202273
stage13_steering,dev,encoder/mean_diff/pooled_all_balanced@+0.25,steering_primary,3,-0.018491598843968254,0.0035184242620027437,-0.0007259457685996209,-0.014132622807168848,-0.10420235983665464,0.0708549951872461,-0.10725755145916431,0.011669022439291313,0.0023042102421828416,0.009629557009953264
