stage,split,intervention,family,seed,language,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,delta_j,effect_size_sta,effect_size_sim
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,1337,am,0.07576012835923077,-0.0649490813396923,0.2394862111161538,-0.19680276576923078,-0.2646291449711538,-0.13088708018269232,-0.051049432403831856,0.1940781778739604,-1.0754051031497394
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,1337,ar,0.0963231562803846,4.5116280461531576e-05,0.21915407611068252,-0.045475178461538465,-0.07113002584615385,-0.024486563240384614,0.04573534727186669,0.33955803234495746,-0.7165696743167944
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,1337,en,0.03722455348576922,-0.1070398884030961,0.20922570837524024,-0.02461571307692307,-0.04463436583653847,-0.0034439148173076826,-0.00535470464998448,0.08611880342268269,-0.4367611134571702
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,1337,es,0.18722807481769227,0.030391585082548182,0.3682827815255768,-0.07809052153846152,-0.12083616875961538,-0.03990155269230769,0.044712672938538395,0.3954737595238829,-0.7507044810214305
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,1337,hi,0.04856779727038462,0.001084934499826923,0.12573709795508653,-0.05016284461538462,-0.0901954365,-0.011959191307692333,0.011908746843208223,0.24566452767961577,-0.47642488447490117
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,2024,am,0.15478444768692307,0.004289510049057702,0.31431135745676925,-0.14806666153846154,-0.23463740558653845,-0.08038050553846157,0.0018816854118630954,0.37117367232727905,-0.7312444833445183
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,2024,ar,0.11040224677307695,0.0018428840977884728,0.22917550914432694,-0.04632990923076923,-0.078307582125,-0.018130261605769256,0.053685867189014906,0.3584560976941439,-0.5895864811601925
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,2024,de,0.171913626335,0.05306962515640389,0.3096909050831635,-0.06733785115384618,-0.11263849340384617,-0.03022571669230771,0.03791384569496946,0.47876914784633945,-0.6287599053568328
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,2024,en,0.1964347657169231,0.05502464494689441,0.34582339660840383,-0.06497268230769229,-0.10191552644230768,-0.03436422869230767,0.0677614722993737,0.4911148616428842,-0.728983228953798
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,2024,es,0.352138978828077,0.18329574913650964,0.5352004954299135,-0.0827270103846154,-0.12575194490384617,-0.04682919603846156,0.15610791267970356,0.752328893098675,-0.8130542875779835
