seed,side,layer,feature,auc_toxic_vs_reference_train,auc_toxic_vs_reference_dev,auc_copy_vs_ordinary_dev,auc_template_vs_ordinary_dev,corr_token_count_dev,corr_sequence_length_dev,auc_language_max_dev,n_languages_active_dev,auc_toxic_vs_generated_dev,candidate_cross_lingual,label
2024,encoder,6,869,0.45577730621516205,0.4183982793950787,0.4555679400141858,0.31305864399389577,-0.007925654108793508,-0.007925654108793508,0.7341392318244171,9,0.43989737336788093,False,not a candidate
2024,encoder,6,59,0.4002931492246614,0.41997324256126267,0.5243692370047623,0.30194026596904294,0.04127347833754426,0.04127347833754426,0.6402177640603567,9,0.48883130959034027,False,not a candidate
2024,encoder,6,299,0.44635145030410806,0.4238937153889143,0.4553146215422028,0.1751689557444953,0.13166455471440183,0.13166455471440183,0.6895790466392318,8,0.4648681603414114,False,not a candidate
2024,encoder,6,1010,0.4679378932109926,0.4248336127622821,0.5237612726720032,0.2158273381294964,0.07226212861235484,0.07226212861235484,0.8233453360768176,6,0.4608714796186218,False,not a candidate
2024,encoder,6,2980,0.4688507155630607,0.42640010838456194,0.4373290100314115,0.4231523871811642,-0.1212406752876885,-0.1212406752876885,0.7588091563786008,9,0.42958390489254683,False,not a candidate
2024,encoder,6,1826,0.4667531751606052,0.4274416162847805,0.4996453541392239,0.3525179856115108,0.20014235615424408,0.20014235615424408,0.7189643347050755,5,0.4811427797253129,False,not a candidate
2024,encoder,6,1981,0.5196956262567394,0.5718725126589781,0.4788732394366197,0.5144974929147591,0.05178199016395136,0.05178199016395136,0.7073902606310014,9,0.5041152263374485,False,not a candidate
2024,encoder,6,1475,0.45616211127217304,0.4281698250605429,0.5681426689634208,0.4579245694353608,-0.006871737436974105,-0.006871737436974105,0.7351680384087791,9,0.5493065081542448,False,not a candidate
2024,encoder,6,585,0.4399645995951868,0.42903351453877286,0.6285337926841625,0.4087638979725311,-0.07245170828386575,-0.07245170828386575,0.8166580932784636,9,0.44874595674778583,False,not a candidate
2024,encoder,6,1724,0.4329754272705989,0.4295076969974089,0.5295369338332151,0.1630695443645084,0.20753810956567342,0.20753810956567342,0.7024176954732511,9,0.4787972700638453,False,not a candidate
2024,encoder,6,458,0.4536980305619067,0.4308794391098918,0.4764413821055832,0.3091345105733595,0.16562247179012793,0.16562247179012793,0.6847350823045268,9,0.4792121797151518,False,not a candidate
2024,encoder,6,2564,0.5191485139966094,0.5686294433436638,0.5338940115513223,0.5184216263352954,-0.15221363851225378,-0.15221363851225378,0.7382115912208506,9,0.5597300547003337,False,not a candidate
2024,encoder,6,1002,0.45339666220010527,0.43203102508086505,0.5744249670685986,0.38630913451057336,0.25695365708654333,0.25695365708654333,0.7199931412894376,9,0.4683313857982353,False,not a candidate
2024,encoder,6,863,0.4367080778343985,0.43296245491032864,0.5290302968892493,0.43067364290385873,0.024161581241229146,0.024161581241229146,0.697616598079561,9,0.4590170875035987,False,not a candidate
2024,encoder,6,1469,0.44419371925087964,0.4334112347372521,0.4542000202654778,0.38489208633093525,-0.09638575290472827,-0.09638575290472827,0.6302297668038408,4,0.4577046181984453,False,not a candidate
2024,decoder,6,2928,0.38355007116764706,0.2768717505800268,0.575235586178944,0.5173315892740353,-0.26580914960721097,-0.26580914960721097,0.7129843964334706,9,0.32318074819217935,True,candidate (associative; causal status untested -- Stage 11)
2024,decoder,6,2014,0.352426667462948,0.2882351944994835,0.5406829466004661,0.28395465445825163,0.32131395621541153,0.32131395621541153,0.7056327160493827,9,0.4205236329150366,False,not a candidate
2024,decoder,6,1605,0.645951738713541,0.6864891869464343,0.45100820751849224,0.4198822759973839,-0.042069546792129535,-0.042069546792129535,0.7251371742112483,8,0.5498907686836356,True,candidate (associative; causal status untested -- Stage 11)
2024,decoder,6,515,0.36423775966237676,0.3241714508289726,0.5005573006383626,0.7544146500981033,-0.18134905296936749,-0.18134905296936749,0.7246227709190672,9,0.37507832478111397,True,candidate (associative; causal status untested -- Stage 11)
2024,decoder,6,448,0.6281054973274807,0.6751003403952649,0.4878913770392137,0.315892740353172,0.021723027414601866,0.021723027414601866,0.6195130315500685,7,0.5252078782028484,True,candidate (associative; causal status untested -- Stage 11)
2024,decoder,6,2958,0.349442271259883,0.324975867499873,0.4714763400547167,0.7185524307826467,-0.25834155833278494,-0.25834155833278494,0.6392318244170097,9,0.3721993598536809,True,candidate (associative; causal status untested -- Stage 11)
2024,decoder,6,644,0.615722907355981,0.6667090043861877,0.3839294761373999,0.3612382821015914,-0.0604009522827158,-0.0604009522827158,0.6372385116598079,9,0.5412454063574319,True,candidate (associative; causal status untested -- Stage 11)
2024,decoder,6,2782,0.3601684300981085,0.33715219563413434,0.5106900395176817,0.2539786352735993,-0.09929573839607414,-0.09929573839607414,0.6774262688614541,9,0.44227675320496534,True,candidate (associative; causal status untested -- Stage 11)
