side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,best_cos_seed1337,best_cos_seed2024,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,replicated,status,best_cos_seed42
encoder,4,content,42,1534,0.42866480204113455,0.4019363522529602,0.40169018507003784,1,1,1,1,False,seed_specific,
encoder,4,content,42,2703,0.4292545479278437,0.28936660289764404,0.24905061721801758,1,1,1,1,False,seed_specific,
encoder,4,content,42,2151,0.4296356846858504,0.21774700284004211,0.21175669133663177,1,1,1,1,False,seed_specific,
encoder,4,content,42,2929,0.43132322055998484,0.3686785101890564,0.27644670009613037,1,1,1,1,False,seed_specific,
encoder,4,content,42,1439,0.567467012385493,0.330987811088562,0.25203102827072144,1,1,1,1,False,seed_specific,
encoder,4,content,42,1045,0.43331724181406167,0.46721935272216797,0.30308306217193604,1,1,1,1,False,seed_specific,
encoder,4,content,42,378,0.4383379617187733,0.27887219190597534,0.279144287109375,1,1,1,1,False,seed_specific,
encoder,4,content,42,1777,0.43898245194939634,0.35205405950546265,0.3200141191482544,1,1,1,1,False,seed_specific,
encoder,4,content,42,2753,0.44092794980773126,0.3457823395729065,0.2513415217399597,1,1,1,1,False,seed_specific,
encoder,4,content,42,1312,0.4415181104243184,0.4283827245235443,0.46098458766937256,1,1,1,1,False,seed_specific,
encoder,4,content,42,3008,0.44168317291581644,0.4813995361328125,0.4760371148586273,1,1,1,1,False,seed_specific,
encoder,4,content,42,251,0.4427291216684749,0.371610552072525,0.38426730036735535,1,1,1,1,False,seed_specific,
encoder,4,content,42,788,0.44362410874549196,0.3927105665206909,0.39258354902267456,1,1,1,1,False,seed_specific,
encoder,4,content,42,1391,0.5533114521849629,0.358756422996521,0.3795236051082611,1,1,1,1,False,seed_specific,
encoder,4,content,42,2727,0.5521394255493512,0.26516905426979065,0.2559245824813843,1,1,1,1,False,seed_specific,
encoder,4,content,42,1353,0.44787508999638354,0.3259814977645874,0.2809903621673584,1,1,1,1,False,seed_specific,
encoder,4,content,42,1853,0.4479290048805412,0.32382574677467346,0.2439533919095993,1,1,1,1,False,seed_specific,
encoder,4,content,42,1557,0.5517371375675595,0.28155380487442017,0.29831641912460327,1,1,1,1,False,seed_specific,
encoder,4,content,42,1513,0.4487016466435081,0.34689971804618835,0.3047066032886505,1,1,1,1,False,seed_specific,
encoder,4,content,42,2649,0.44916075261860444,0.283905953168869,0.2511519193649292,1,1,1,1,False,seed_specific,
encoder,4,content,42,1053,0.44916407045762957,0.27438199520111084,0.2698887586593628,1,1,1,1,False,seed_specific,
encoder,4,content,42,240,0.4504318996950906,0.2657790184020996,0.24725238978862762,1,1,1,1,False,seed_specific,
encoder,4,content,42,2379,0.45076990454577126,0.31909888982772827,0.4226844608783722,1,1,1,1,False,seed_specific,
encoder,4,content,42,60,0.5489306604822146,0.2321152687072754,0.1989975869655609,1,1,1,1,False,seed_specific,
encoder,4,content,42,2110,0.5474878152361804,0.4463132321834564,0.24194781482219696,1,1,1,1,False,seed_specific,
encoder,4,content,42,2297,0.5474874005063022,0.7035146951675415,0.5331147909164429,3,2,2,1,True,replicated,
encoder,4,content,42,1878,0.452824891091934,0.3350825309753418,0.3102476894855499,1,1,1,1,False,seed_specific,
encoder,4,content,42,1818,0.4535295171548866,0.33912158012390137,0.3508123755455017,1,1,1,1,False,seed_specific,
encoder,4,content,42,2079,0.4539649835269293,0.24591566622257233,0.32270774245262146,1,1,1,1,False,seed_specific,
encoder,4,content,42,2822,0.54554356156748,0.4680158495903015,0.3808276057243347,1,1,1,1,False,seed_specific,
encoder,4,content,42,2144,0.4547434315081901,0.2174970507621765,0.2130890190601349,1,1,1,1,False,seed_specific,
encoder,4,content,42,434,0.4551631381448634,0.3410327136516571,0.3778199553489685,1,1,1,1,False,seed_specific,
encoder,4,content,42,2926,0.4555135848918882,0.2999802231788635,0.31423234939575195,1,1,1,1,False,seed_specific,
encoder,4,content,42,2940,0.45579518647914247,0.28534579277038574,0.282945454120636,1,1,1,1,False,seed_specific,
