side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_auc_toxic_vs_reference_balanced,dev_auc_toxic_vs_generated,dev_auc_copy_vs_ordinary,dev_auc_template_vs_ordinary,dev_auc_language_max,dev_language_argmax,dev_corr_token_count,dev_corr_sequence_length,cos_with_probe_direction,cos_with_mean_diff_direction,cos_with_language_control,cos_with_length_control,dev_auc_contrast_am,dev_auc_contrast_ar,dev_auc_contrast_de,dev_auc_contrast_en,dev_auc_contrast_es,dev_auc_contrast_hi,dev_auc_contrast_uk,dev_auc_contrast_xh,dev_auc_contrast_yo,replicated,status,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,passes_contrast,passes_controls,passes_behaviour,passes_replication,detoxification_feature,label
encoder,6,all,42,2199,0.43884725000912406,0.45412284712696227,0.45412284712696227,0.45844976206201626,0.447592194772646,0.1565934065934066,0.7575445816186557,uk,0.11513249598101197,0.11513249598101197,-0.012295485647951621,0.2380111779044658,0.11400806996003313,0.09897130240698579,0.5089163237311386,0.53360768175583,0.48765432098765427,0.27914951989026066,0.41975308641975306,0.4430727023319616,0.4403292181069959,0.47599451303155005,0.40329218106995884,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,2295,0.4390255838567224,0.431082660163593,0.431082660163593,0.47988958322748904,0.5511546723952739,0.35092539039907467,0.7267232510288065,uk,-0.007094924602846545,-0.007094924602846545,-0.0022964719609763753,0.09080438817779843,0.04795959221789096,-0.046641854117925305,0.5473251028806585,0.4176954732510288,0.42798353909465026,0.39917695473251025,0.3497942386831276,0.36694101508916327,0.3271604938271605,0.5219478737997256,0.42592592592592593,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,743,0.5609130361213135,0.5605514064590423,0.5605514064590423,0.5611102643567207,0.6001163623344075,0.3885193753614806,0.8814300411522633,am,0.38705016880911797,0.38705016880911797,0.010473286320992026,-0.05143699857598273,0.04548114578419942,0.043974607451893084,0.5569272976680384,0.5308641975308642,0.4348422496570644,0.7503429355281206,0.49519890260631,0.46502057613168724,0.5116598079561043,0.7366255144032922,0.6584362139917695,False,seed_specific,2,1,1,1,False,False,False,False,False,not promoted
encoder,6,all,42,683,0.5606057212816148,0.568443157377771,0.568443157377771,0.5518806415011261,0.5537056928034372,0.5274725274725275,0.7015174897119342,yo,-0.6484159481389581,-0.6484159481389581,0.01691939860519182,0.035423387697232384,0.0882378409941914,0.09033472710562551,0.617283950617284,0.5541838134430727,0.5747599451303155,0.7805212620027434,0.6200274348422496,0.6406035665294925,0.5500685871056241,0.39780521262002744,0.38408779149519884,False,seed_specific,1,1,1,1,False,False,False,False,False,not promoted
encoder,6,all,42,922,0.560142053277859,0.5631255398059238,0.5631255398059238,0.509407441277583,0.5776047261009667,0.2559282822440717,0.7230366941015088,hi,-0.1464300629404181,-0.1464300629404181,0.0356240282580199,-0.07083075678417994,0.09703605067315046,-0.017267933598163518,0.5569272976680385,0.6364883401920439,0.5267489711934157,0.7290809327846365,0.5898491083676268,0.5514403292181069,0.5823045267489713,0.5802469135802468,0.53360768175583,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,2119,0.44001927664473567,0.42877948822164647,0.42877948822164647,0.45149790851665567,0.5510204081632654,0.3574320416425679,0.7124485596707819,ar,-0.07337666244728158,-0.07337666244728158,0.0020585941733481435,0.20508923781972407,0.064387904541626,0.03914411187768647,0.38477366255144035,0.42249657064471885,0.4417009602194788,0.38751714677640603,0.4821673525377229,0.47393689986282583,0.3758573388203018,0.3895747599451303,0.45679012345679004,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,2170,0.4401059551892661,0.4511676743043913,0.4511676743043913,0.4535216515097631,0.4911385606874329,0.38432620011567387,0.8119427297668039,de,0.30061459407087726,0.30061459407087726,-0.002917330850132429,0.0716304549242505,0.07570383773475238,0.005828388144796866,0.3786008230452675,0.4540466392318244,0.4924554183813443,0.42729766803840885,0.3676268861454047,0.4142661179698217,0.4602194787379973,0.448559670781893,0.6069958847736625,False,seed_specific,1,1,1,1,False,False,False,False,False,not promoted
encoder,6,all,42,2950,0.4402743355197892,0.40752595302206646,0.40752595302206646,0.4493386848210809,0.4442355889724311,0.6547137073452862,0.961548353909465,yo,-0.13352776798742397,-0.13352776798742397,0.016517726593807666,0.04754019376968195,0.17748701262435712,-0.01883930626267179,0.35939643347050754,0.46296296296296297,0.4094650205761317,0.4773662551440329,0.37037037037037035,0.3964334705075446,0.4176954732510288,0.24417009602194784,0.5349794238683128,False,seed_specific,1,1,1,1,False,False,True,False,False,not promoted
encoder,6,all,42,291,0.4411083573047203,0.4490338532405291,0.4490338532405291,0.47574048671442365,0.5460973863229502,0.2218045112781955,0.8230024005486969,uk,0.035491518883460256,0.035491518883460256,0.0017581773455312873,0.14596028051614862,0.12311160172448322,0.060642461962159916,0.44581618655692723,0.4142661179698217,0.39368998628257884,0.41838134430727025,0.4067215363511659,0.48491083676268865,0.41152263374485604,0.513031550068587,0.4993141289437586,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,2270,0.5586324365214448,0.5680028450947519,0.5680028450947519,0.5443021897068536,0.5470819906910133,0.2906304222093696,0.985125171467764,es,-0.09849054501980752,-0.09849054501980752,0.03945595070746037,0.04690780137157156,0.11824080200923934,0.12019257529062034,0.6700960219478738,0.49862825788751713,0.541838134430727,0.5912208504801099,0.6419753086419754,0.6220850480109739,0.6893004115226338,0.5,0.5967078189300411,False,seed_specific,1,1,1,1,False,False,True,False,False,not promoted
