split,language,seed,n_examples,sta_supported,sta_input,sta,sta_ci_lo,sta_ci_hi,sim,sim_ci_lo,sim_ci_hi,fl,fl_ci_lo,fl_ci_hi,j,j_ci_lo,j_ci_hi,delta_sta,sta_unvalidated,sta_unvalidated_ci_lo,sta_unvalidated_ci_hi,j_unvalidated,j_unvalidated_ci_lo,j_unvalidated_ci_hi,unique_output_rate,top_output_share,prefix_diversity,template_rate,matches_train_output_fuzzy_rate,empty_rate,sentinel_rate,copy_input_rate,copy_input_rate_loose
test,am,42,26,True,0.4556562304496765,0.5726675484307074,0.3952820031058555,0.7494515826977686,0.9365980579302862,0.9043428443372249,0.9652651895124179,0.47899703974205543,0.37920163348095054,0.5863929602473045,0.2612171324208665,0.15332582463519642,0.3798841056676254,0.11701131798103093,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.3846153846153846
test,am,1337,26,True,0.4556562304496765,0.5528869055001101,0.37633344314817807,0.7237162899031738,0.9567121611191676,0.9334372596098827,0.9794171578609027,0.47891539236195335,0.3755389273416375,0.5776165580837901,0.2534907440409718,0.1396187868261154,0.3731288999398086,0.09723067505043359,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.5,0.5
test,am,2024,26,True,0.4556563198566437,0.5583046242357411,0.3653830987996256,0.7299521549905384,0.9532756071824294,0.9261486805402316,0.9758857289759012,0.4707322262429149,0.3726325099986715,0.5834276345453384,0.2425485593757782,0.1414076230457871,0.36134534930693607,0.10264830437909744,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.3461538461538461,0.3461538461538461
test,ar,42,26,True,0.4334193766117096,0.5150060228311654,0.33458371114908153,0.699260264624368,0.9758934997595273,0.9561482303417645,0.9911489421931597,0.6919637125980125,0.6090749598083998,0.7717119991217932,0.35232014952912916,0.20587402609487232,0.48877724728057764,0.08158664621945577,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.5769230769230769
test,ar,1337,26,True,0.433419406414032,0.5171654787140701,0.32934631169907963,0.7043706085158471,0.9839690006696261,0.973612717195199,0.992870906740427,0.6922336527204614,0.6139511080600869,0.7710965413316434,0.35519797492400357,0.2225130858096629,0.49570237605658124,0.08374607230003817,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384
test,ar,2024,26,True,0.433419406414032,0.5087011192876022,0.3189212770753119,0.6957168989246734,0.9695058785952054,0.9562249690867387,0.9824032722757413,0.7035151862328229,0.6203778919568643,0.7873328554162972,0.3561427046303077,0.21738531520833348,0.5018754088689718,0.07528171287357022,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.3846153846153846
test,de,42,26,True,0.3915913999080658,0.6115759824080249,0.4435854773967339,0.7784351453828164,0.9752649045907534,0.9550160000530573,0.9898561676534323,0.8150564587868,0.7764017900426172,0.8487088220552296,0.4805755236818858,0.32845513923414116,0.6268868754865673,0.2199845824999591,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.5,0.5
test,de,1337,26,True,0.3915913999080658,0.6594630588772886,0.48171903296158863,0.8312671518470429,0.9605272228901203,0.9298931140166062,0.9831549325241492,0.8134269699853717,0.7750849426566876,0.8471356983175646,0.5133937033716987,0.3632085100277401,0.6440186527998301,0.2678716589692228,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.3461538461538461,0.3461538461538461
test,de,2024,26,True,0.3915913999080658,0.5343935133893795,0.3479658915605866,0.7189818243577275,0.9824435435808622,0.9752846439870505,0.9894843772053719,0.809119473942119,0.765956487442553,0.8459293689297166,0.4254465535618327,0.2751970947896729,0.5610384150477666,0.14280211348131366,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.3461538461538461,0.3846153846153846
test,en,42,26,True,0.0011044612620025873,0.5923749860488058,0.400651599206965,0.7622828498812639,0.9365890369965479,0.9137098968029022,0.9575401386962487,0.7120979595426913,0.6244619227152213,0.7852902006836452,0.4175877730474999,0.28074219152534763,0.5593461576761624,0.5912705247868032,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0769230769230769
