seed,side,layer,contrast,source,target,transfer_type,n_train,n_dev,dev_accuracy,dev_auc,fit_split
42,decoder,4,toxic_vs_generated,YO_XH,es,cross_language,108,54,0.5185185185185185,0.5939643347050754,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,YO_XH,hi,cross_language,108,54,0.5,0.5967078189300411,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,YO_XH,uk,cross_language,108,54,0.5,0.5459533607681757,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,dev_cv,multilingual_pooled,dev_cv,0,486,0.7117772108843538,0.7808904131380443,dev (grouped 5-fold CV)
42,decoder,6,toxic_vs_generated,EN_DE_ES,yo,cross_language,162,54,0.5555555555555556,0.882716049382716,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,EN_DE_ES,xh,cross_language,162,54,0.5555555555555556,0.9149519890260629,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,all_non_african,yo,cross_language,378,54,0.5555555555555556,0.8799725651577504,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,all_non_african,xh,cross_language,378,54,0.6296296296296297,0.9176954732510287,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,YO_XH,am,cross_language,108,54,0.48148148148148145,0.5150891632373114,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,YO_XH,ar,cross_language,108,54,0.5370370370370371,0.5473251028806584,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,YO_XH,de,cross_language,108,54,0.5370370370370371,0.556241426611797,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,YO_XH,en,cross_language,108,54,0.5740740740740741,0.6358024691358025,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,YO_XH,es,cross_language,108,54,0.5555555555555556,0.5953360768175583,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,YO_XH,hi,cross_language,108,54,0.5555555555555556,0.5521262002743483,dev (disjoint source languages)
42,decoder,6,toxic_vs_generated,YO_XH,uk,cross_language,108,54,0.5370370370370371,0.5534979423868313,dev (disjoint source languages)
