seed,side,layer,pooling,probe,scope,status,n_train,n_dev,n_dims_used,C,train_accuracy,dev_accuracy,dev_auc,control_dev_accuracy,control_dev_auc,gain_over_control,accuracy_by_behaviour,note
2024,decoder,4,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,decoder,4,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,decoder,6,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9439890710382514,0.9320987654320988,0.9719385595014309,0.5534979423868313,0.5690274179071618,0.37860082304526754,"{""copy_input"": 0.9225352112676056, ""generic_template"": 0.9848484848484849, ""ordinary_rewrite"": 0.9244604316546763}",
2024,decoder,6,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,decoder,6,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,decoder,6,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9439890710382514,0.9238683127572016,0.9712272858134768,0.5534979423868313,0.5690274179071618,0.37037037037037035,"{""copy_input"": 0.9084507042253521, ""generic_template"": 0.9848484848484849, ""ordinary_rewrite"": 0.9172661870503597}",
2024,decoder,6,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,decoder,6,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,decoder,8,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9216757741347905,0.8930041152263375,0.9578993717082424,0.5534979423868313,0.5690274179071618,0.33950617283950624,"{""copy_input"": 0.8943661971830986, ""generic_template"": 0.9848484848484849, ""ordinary_rewrite"": 0.8705035971223022}",
2024,decoder,8,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,decoder,8,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,decoder,8,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.970856102003643,0.8909465020576132,0.9582211383766025,0.5534979423868313,0.5690274179071618,0.3374485596707819,"{""copy_input"": 0.8873239436619719, ""generic_template"": 0.9848484848484849, ""ordinary_rewrite"": 0.8705035971223022}",
2024,decoder,8,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,decoder,8,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
