direction_type,scope,side,layer,pooling,n_seeds,mean_cosine_across_seeds,min_cosine_across_seeds,max_cosine_across_seeds
mean_diff,lang_de,decoder,8,pooled_mean_content,3,0.9803568522135416,0.9792412519454956,0.98149573802948
mean_diff,lang_de,encoder,4,pooled_mean_all,3,0.9848093191782633,0.980976939201355,0.9897280931472778
mean_diff,lang_de,encoder,4,pooled_mean_content,3,0.9139747023582458,0.9069463610649109,0.9241867065429688
mean_diff,lang_de,encoder,6,pooled_mean_all,3,0.9813399910926819,0.9763811826705933,0.9876683950424194
mean_diff,lang_de,encoder,6,pooled_mean_content,3,0.9424542983373007,0.9384329319000244,0.9452228546142578
mean_diff,lang_de,encoder,8,pooled_mean_all,3,0.9743549029032389,0.9703408479690552,0.981835663318634
mean_diff,lang_de,encoder,8,pooled_mean_content,3,0.9454668561617533,0.9401323795318604,0.955319344997406
mean_diff,lang_en,decoder,4,pooled_mean_all,3,0.9729289809862772,0.9699766039848328,0.9785169363021851
mean_diff,lang_en,decoder,4,pooled_mean_content,3,0.970649242401123,0.9672477841377258,0.9762195348739624
mean_diff,lang_en,decoder,6,pooled_mean_all,3,0.9796364903450012,0.9781014919281006,0.9805010557174683
mean_diff,lang_en,decoder,6,pooled_mean_content,3,0.9779260555903116,0.9760744571685791,0.9797083139419556
mean_diff,lang_en,decoder,8,pooled_mean_all,3,0.9815711975097656,0.9802137613296509,0.9834703207015991
mean_diff,lang_en,decoder,8,pooled_mean_content,3,0.9783141016960144,0.97666335105896,0.9809681177139282
mean_diff,lang_en,encoder,4,pooled_mean_all,3,0.9473211765289307,0.9222315549850464,0.9809544086456299
mean_diff,lang_en,encoder,4,pooled_mean_content,3,0.968549648920695,0.9594706892967224,0.979387640953064
mean_diff,lang_en,encoder,6,pooled_mean_all,3,0.9433806538581848,0.9159451723098755,0.9823197722434998
mean_diff,lang_en,encoder,6,pooled_mean_content,3,0.9661075075467428,0.9552009701728821,0.9790216684341431
mean_diff,lang_en,encoder,8,pooled_mean_all,3,0.9331701199213663,0.9057838916778564,0.9771521687507629
mean_diff,lang_en,encoder,8,pooled_mean_content,3,0.9570538202921549,0.948901355266571,0.9729074239730835
mean_diff,lang_es,decoder,4,pooled_mean_all,3,0.9761816263198853,0.974517822265625,0.9793787598609924
mean_diff,lang_es,decoder,4,pooled_mean_content,3,0.9767895340919495,0.9753285646438599,0.9793997406959534
mean_diff,lang_es,decoder,6,pooled_mean_all,3,0.9809969266255697,0.9784547090530396,0.9830215573310852
mean_diff,lang_es,decoder,6,pooled_mean_content,3,0.9806966980298361,0.9782955646514893,0.9825336337089539
mean_diff,lang_es,decoder,8,pooled_mean_all,3,0.9822775920232137,0.9812788367271423,0.9831593036651611
mean_diff,lang_es,decoder,8,pooled_mean_content,3,0.9803577661514282,0.9790934324264526,0.9810089468955994
mean_diff,lang_es,encoder,4,pooled_mean_all,3,0.9844416379928589,0.9815977811813354,0.9901278018951416
mean_diff,lang_es,encoder,4,pooled_mean_content,3,0.9730929533640543,0.9679972529411316,0.9794303178787231
mean_diff,lang_es,encoder,6,pooled_mean_all,3,0.9812959631284078,0.9771895408630371,0.9883906841278076
mean_diff,lang_es,encoder,6,pooled_mean_content,3,0.9689287344614664,0.9614964723587036,0.9778279066085815
mean_diff,lang_es,encoder,8,pooled_mean_all,3,0.9770112633705139,0.9724750518798828,0.9843315482139587
mean_diff,lang_es,encoder,8,pooled_mean_content,3,0.9643500645955404,0.9589394330978394,0.9730029106140137
mean_diff,lang_hi,decoder,4,pooled_mean_all,3,0.9732748866081238,0.9728236198425293,0.973883330821991
mean_diff,lang_hi,decoder,4,pooled_mean_content,3,0.9737697243690491,0.9733103513717651,0.9746131896972656
mean_diff,lang_hi,decoder,6,pooled_mean_all,3,0.9833724697430929,0.9819158315658569,0.9849632382392883
mean_diff,lang_hi,decoder,6,pooled_mean_content,3,0.9833078583081564,0.982005774974823,0.9850170612335205
mean_diff,lang_hi,decoder,8,pooled_mean_all,3,0.9818036357561747,0.9809730052947998,0.982731819152832
mean_diff,lang_hi,decoder,8,pooled_mean_content,3,0.981100837389628,0.9801712036132812,0.9821749925613403
mean_diff,lang_hi,encoder,4,pooled_mean_all,3,0.9540608922640482,0.9322768449783325,0.9874866008758545
mean_diff,lang_hi,encoder,4,pooled_mean_content,3,0.8939408461252848,0.8439130783081055,0.976509690284729
mean_diff,lang_hi,encoder,6,pooled_mean_all,3,0.9452959696451823,0.9203841686248779,0.9837799072265625
mean_diff,lang_hi,encoder,6,pooled_mean_content,3,0.9069216251373291,0.8684122562408447,0.9776453971862793
mean_diff,lang_hi,encoder,8,pooled_mean_all,3,0.9348816275596619,0.9057939052581787,0.9752976894378662
mean_diff,lang_hi,encoder,8,pooled_mean_content,3,0.9092999696731567,0.8796412944793701,0.9681450128555298
mean_diff,lang_uk,decoder,4,pooled_mean_all,3,0.9703478217124939,0.9669922590255737,0.9746449589729309
mean_diff,lang_uk,decoder,4,pooled_mean_content,3,0.9701688289642334,0.9669880270957947,0.9737832546234131
