scope,side,layer,pooling,seed,cos_meandiff_probe
pooled_non_african,decoder,8,pooled_mean_all,1337,0.40571391582489014
pooled_non_african,decoder,8,pooled_mean_all,2024,0.4272449314594269
pooled_non_african,decoder,8,pooled_mean_content,42,0.4380965530872345
pooled_non_african,decoder,8,pooled_mean_content,1337,0.42744261026382446
pooled_non_african,decoder,8,pooled_mean_content,2024,0.4420962333679199
pooled_non_african,encoder,4,pooled_mean_all,42,0.14717166125774384
pooled_non_african,encoder,4,pooled_mean_all,1337,0.14975380897521973
pooled_non_african,encoder,4,pooled_mean_all,2024,0.19660496711730957
pooled_non_african,encoder,4,pooled_mean_content,42,0.27418258786201477
pooled_non_african,encoder,4,pooled_mean_content,1337,0.27194422483444214
pooled_non_african,encoder,4,pooled_mean_content,2024,0.24358952045440674
pooled_non_african,encoder,6,pooled_mean_all,42,0.17454266548156738
pooled_non_african,encoder,6,pooled_mean_all,1337,0.1821923851966858
pooled_non_african,encoder,6,pooled_mean_all,2024,0.22917933762073517
pooled_non_african,encoder,6,pooled_mean_content,42,0.286950945854187
