direction_type,side,layer,pooling,seed,lang_a,lang_b,cosine,pair_type
mean_diff,decoder,6,pooled_mean_all,42,am,en,0.6592064499855042,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,am,es,0.8088420629501343,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,am,hi,0.8892884254455566,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,am,uk,0.8040993213653564,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,am,xh,0.6516386270523071,cross-group
mean_diff,decoder,6,pooled_mean_all,42,am,yo,0.7650502920150757,cross-group
mean_diff,decoder,6,pooled_mean_all,42,ar,de,0.8423823714256287,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,ar,en,0.7591960430145264,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,ar,es,0.854043185710907,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,ar,hi,0.8133597373962402,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,ar,uk,0.8147314786911011,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,ar,xh,0.5562493205070496,cross-group
mean_diff,decoder,6,pooled_mean_all,42,ar,yo,0.590168297290802,cross-group
mean_diff,decoder,6,pooled_mean_all,42,de,en,0.7799532413482666,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,de,es,0.8726935386657715,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,de,hi,0.8412832617759705,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,de,uk,0.8440806269645691,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,de,xh,0.5698297023773193,cross-group
mean_diff,decoder,6,pooled_mean_all,42,de,yo,0.6195191740989685,cross-group
mean_diff,decoder,6,pooled_mean_all,42,en,es,0.8357405662536621,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,en,hi,0.6643372178077698,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,en,uk,0.7130565643310547,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,en,xh,0.4299624562263489,cross-group
mean_diff,decoder,6,pooled_mean_all,42,en,yo,0.41757917404174805,cross-group
mean_diff,decoder,6,pooled_mean_all,42,es,hi,0.8213506937026978,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,es,uk,0.8333631157875061,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,es,xh,0.5799421072006226,cross-group
mean_diff,decoder,6,pooled_mean_all,42,es,yo,0.5857352018356323,cross-group
mean_diff,decoder,6,pooled_mean_all,42,hi,uk,0.826763391494751,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,hi,xh,0.6024985313415527,cross-group
mean_diff,decoder,6,pooled_mean_all,42,hi,yo,0.6825799345970154,cross-group
mean_diff,decoder,6,pooled_mean_all,42,uk,xh,0.5231044888496399,cross-group
mean_diff,decoder,6,pooled_mean_all,42,uk,yo,0.576802134513855,cross-group
mean_diff,decoder,6,pooled_mean_all,42,xh,yo,0.7471320629119873,african-african
mean_diff,decoder,6,pooled_mean_all,1337,am,ar,0.827279806137085,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,am,de,0.8461534976959229,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,am,en,0.6538629531860352,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,am,es,0.799644410610199,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,am,hi,0.8902758359909058,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,am,uk,0.7910439968109131,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,am,xh,0.6586300134658813,cross-group
mean_diff,decoder,6,pooled_mean_all,1337,am,yo,0.7661474943161011,cross-group
mean_diff,decoder,6,pooled_mean_all,1337,ar,de,0.8495345115661621,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,ar,en,0.7455980777740479,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,ar,es,0.8477693200111389,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,ar,hi,0.8309911489486694,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,ar,uk,0.808646559715271,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,ar,xh,0.5611107349395752,cross-group
mean_diff,decoder,6,pooled_mean_all,1337,ar,yo,0.5882464647293091,cross-group
mean_diff,decoder,6,pooled_mean_all,1337,de,en,0.7702103853225708,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,de,es,0.8685991764068604,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,de,hi,0.8572514057159424,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,de,uk,0.8402668237686157,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,1337,de,xh,0.556830883026123,cross-group
